id,locality,locality_aka,state,country,iso3,continent,lat,lon,videos,time_of_day,start_time,end_time,vehicle_type
955,Namur,[],Namur,Belgium,BEL,Europe,50.4154514,4.8966651,"[8ZvszQog-EE,e0pCKnab290]","[[day,day,day,day,day,day],[day,day,day,day,day,day,day]]","[[4666.583,4671.33,4674.665,4678.17,4682.665,4688.166],[3452.5,3457.33,3460.665,3463.734,3468.643,3474.0,3478.83]]","[[4671.33,4674.665,4677.67,4682.665,4688.166,4695.83],[3457.33,3460.665,3463.734,3468.643,3474.0,3478.83,3481.83]]","[car,car,car,car,car,car,car,car,car,car,car,car,unknown]"
956,Craveggia,[353],Piedmont,Italy,ITA,Europe,46.1635706,8.511647,"[8ZvszQog-EE,e0pCKnab290,0zdj1w9cR30]","[[day,day,day,day,day],[day,day,day,day],[day]]","[[4702.602,4710.932,4711.5,4717.602,4723.966],[3697.5,3706.11,3711.5,3712.5],[7793.67]]","[[4710.932,4711.5,4717.602,4723.966,4733.67],[3706.11,3711.5,3712.5,3718.67],[7812.33]]","[car,car,car,car,car,car,car,car,car,car,truck,pickup_truck,van]"
957,Jiguaní,[],unknown,Cuba,CUB,North America,20.2763181,-76.4313464,"[8ZvszQog-EE,e0pCKnab290]","[[day,day,day],[day,day]]","[[4733.67,4750.167,4771.67],[3925.432,3947.102]]","[[4734.33,4771.67,4772.17],[3947.102,3947.67]]","[car,truck,car,truck,car,truck,car,truck,car,truck]"
958,Ben,[],Chaharmahal and Bakhtiyari Province,Iran,IRN,Asia,32.5422671,50.7453326,"[8ZvszQog-EE,LLUbhzcjv_c,e0pCKnab290]","[[day,day,day],[day],[day,day,day,day]]","[[4783.585,4797.415,4799.0],[626.5],[4219.5,4225.0,4227.5,4229.0]]","[[4789.5,4799.0,4804.365],[645.0],[4225.0,4227.5,4229.0,4234.39]]","[car,car,pickup_truck,car,car,car,car,car,pickup_truck,car]"
959,Elkton,[],MD,United States,USA,North America,39.6065073,-75.8330934,"[8ZvszQog-EE,e0pCKnab290,tJWZoZChFeg]","[[day],[day],[day]]","[[4804.365],[4470.034],[989.333]]","[[4815.398],[4478.67],[1019.33]]","[car,car,pickup_truck,truck]"
960,Kirchbach-Zerlach,[],Styria,Austria,AUT,Europe,46.9340666,15.6671257,"[8ZvszQog-EE,e0pCKnab290]","[[day],[night,night,day]]","[[4904.0],[4653.67,4666.17,4683.0]]","[[4919.5],[4666.17,4672.234,4698.5]]","[car,car,car,car]"
961,Zhaxigang,[],Xizang,China,CHN,Asia,32.7386682,79.4186633,"[8ZvszQog-EE,e0pCKnab290]","[[dusk/dawn,day],[dusk/dawn,day]]","[[4936.94,4954.0],[5355.166,5372.33]]","[[4946.67,4957.67],[5365.0,5375.83]]","[car,car,truck,car,truck,car]"
962,Junior,[],WV,United States,USA,North America,38.9787148,-79.949519,"[8ZvszQog-EE,e0pCKnab290]","[[day,day],[night,day]]","[[5106.67,5112.17],[6434.5,6473.5]]","[[5112.17,5117.67],[6473.5,6479.67]]","[car,car,car,car]"
963,Homestead,[],FL,United States,USA,North America,25.4718946,-80.4759905,"[8ZvszQog-EE,e0pCKnab290]","[[day],[day]]","[[5118.234],[6693.034]]","[[5129.0],[6703.966]]","[car,car]"
964,SW 137 AV,[],FL,United States,USA,North America,29.0783682,-82.3470892,"[8ZvszQog-EE,e0pCKnab290]","[[day],[day]]","[[5129.0],[6703.966]]","[[5140.67],[6715.919]]","[car,car]"
965,Avezac-Prat-Lahitte,[],Occitania,France,FRA,Europe,43.0664079,0.3523684,"[8ZvszQog-EE,e0pCKnab290]","[[day],[day,day,day,day,day]]","[[5304.915],[7801.5,7808.67,7814.5,7820.83,7824.17]]","[[5312.165],[7808.67,7814.5,7820.0,7823.67,7826.67]]","[car,car,car,car,car,motorcycle,car]"
966,Sabak Bernam,[],Selangor,Malaysia,MYS,Asia,3.7687932,100.9825194,[8ZvszQog-EE],[day],[5317.915],[5323.25],[car]
967,Grimsby,[],England,United Kingdom,GBR,Europe,53.5623129,-0.1390818,[8ZvszQog-EE],[day],[5324.234],[5327.165],[car]
968,Windsor,[],CO,United States,USA,North America,40.4774818,-104.901361,"[8ZvszQog-EE,e0pCKnab290]","[[night],[night]]","[[5330.5],[7957.67]]","[[5340.83],[7968.0]]","[car,car]"
969,Duluth,[Cody],MN,United States,USA,North America,46.744026,-92.1739674,"[8ZvszQog-EE,e0pCKnab290]","[[night,night,night,night],[night,night,night]]","[[5341.5,5364.0,5367.0,5367.568],[7968.67,7991.17,7994.734]]","[[5350.17,5367.0,5367.568,5372.33],[7991.17,7994.17,7999.585]]","[car,car,car,car,car,car,pedestrian]"
970,Dunstable,[Travelodge Toddington M1 Southbound],England,United Kingdom,GBR,Europe,51.8861316,-0.5209341,"[tnucU7gDkSs,gwVmONNXPPk,PJonTi1MJgo]","[[day,day],[day],[day]]","[[645.167,1322.83],[919.667],[1194.5]]","[[766.0,1427.5],[1785.67],[1403.17]]","[car,car,truck,car,van,car,van]"
971,"Missouri River, MO",[],MO,United States,USA,North America,40.0891326,-95.4054858,[LLUbhzcjv_c],[day],[105.167],[116.667],[car]
972,Clayton,[],OH,United States,USA,North America,39.8631101,-84.3605022,[LLUbhzcjv_c],[night],[135.5],[156.667],[car]
973,South Middleton Township,[],PA,United States,USA,North America,40.1572966,-77.1341026,[LLUbhzcjv_c],[day],[205.5],[221.833],"[truck,car]"
974,Richmond,[],CA,United States,USA,North America,37.9799566,-122.3091339,"[LLUbhzcjv_c,e0pCKnab290]","[[day],[day]]","[[247.0],[5303.0]]","[[268.5],[5311.17]]","[car,truck,car]"
